Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Series,Protocol Supported,Frequency,Data Rate,Interface Type,Output Power,Operating Supply Voltage,Supply Current Transmitting,Supply Current Receiving,Minimum Operating Temperature,Maximum Operating Temperature,Protocol - WiFi - 802.11,Protocol - Bluetooth, BLE - 802.15.1,Protocol - Cellular, NBIoT, LTE,Protocol - ANT, Thread, Zigbee - 802.15.4,Qualification,Packaging
81-LBEE5XV1XA-540,LBEE5XV1XA-540,Murata Electronics,,"1,000  In Stock",$33.23,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Murata-Electronics/LBEE5XV1XA-540?qs=stqOd1AaK7//oObf2hVFTw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBEE5XV1XA-540&utm_content=Murata-Electronics,,,,,,,,,,,,,,,,,"Cut Tape, Reel",,,,,
634-WFM200S022XNN3R,WFM200S022XNN3R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wfm200_datasheet-1800105.pdf,"2,449  In Stock",$9.17,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WFM200S022XNN3R?qs=vEM7xhTegWgX9VSbHLiC3g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFM200S022XNN3R&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,15.1 dBm,"1.8 V, 3.3 V",99.4 mA,48.3 mA,- 40 C,+ 105 C,,,,,,"Cut Tape, Reel",,,,,
634-WFM200SS22XNA3R,WFM200SS22XNA3R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wfm200_datasheet-1800105.pdf,"2,177  In Stock",$10.07,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WFM200SS22XNA3R?qs=vEM7xhTegWjcx8K%2Bp10WbA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFM200SS22XNA3R&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,15.1 dBm,"1.8 V, 3.3 V",99.4 mA,48.3 mA,- 40 C,+ 105 C,,,,,,"Cut Tape, Reel",,,,,
607-9260.NGWGII.NV,9260.NGWGII.NV,Intel,https://ru.mouser.com/datasheet/2/612/dual_band_wireless_ac_9260_brief-1661665.pdf,109  In Stock,$38.01,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/9260NGWGIINV?qs=DPoM0jnrROUGhna%2BTa9/kg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=9260.NGWGII.NV&utm_content=Intel,Wireless-AC 9260,,"2.4 GHz, 5 GHz",1.73 Gb/s,"PCIe, USB",,,,,0 C,+ 80,WiFi,Bluetooth,,,,,,,,,
579-WFI32E01PE-I,WFI32E01PE-I,Microchip Technology,https://ru.mouser.com/datasheet/2/268/PIC32MZ1025W104_MCU_and_WFI32E01_Module_with_Wi_Fi-2065561.pdf,307  In Stock,$17.87,,New Product,https://ru.mouser.com/ProductDetail/Microchip-Technology/WFI32E01PE-I?qs=W/MpXkg%2BdQ6FpmXU/d7PKw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFI32E01PE-I&utm_content=Microchip-Technology,,,200 MHz,1 Gb/s,"I2C, SPI, UART",20.5 dBm,3 V to 3.6 V,,,- 40 C,+ 85 C,,,,,,,,,,,
634-WFM200S022XNA3,WFM200S022XNA3,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wfm200_datasheet-1800105.pdf,947  In Stock,$9.61,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WFM200S022XNA3?qs=vEM7xhTegWgk98Fa7%2BnIXQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFM200S022XNA3&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,15.1 dBm,"1.8 V, 3.3 V",99.4 mA,48.3 mA,- 40 C,+ 105 C,,,,,,Tray,,,,,
579-WFI32E01UE-I,WFI32E01UE-I,Microchip Technology,https://ru.mouser.com/datasheet/2/268/PIC32MZ1025W104_MCU_and_WFI32E01_Module_with_Wi_Fi-2065561.pdf,266  In Stock,$19.13,,New Product,https://ru.mouser.com/ProductDetail/Microchip-Technology/WFI32E01UE-I?qs=W/MpXkg%2BdQ4ZRdi0t2nvgA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFI32E01UE-I&utm_content=Microchip-Technology,,,200 MHz,1 Gb/s,"I2C, SPI, UART",20.5 dBm,3 V to 3.6 V,,,- 40 C,+ 85 C,,,,,,,,,,,
239-453-00049,453-00049,Laird Connectivity,https://www.lairdconnect.com/node/19975,83  In Stock,$33.36,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00049?qs=DPoM0jnrROXBKDJzSabiAw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00049&utm_content=Laird-Connectivity,Sterling LWB5+,,"2.4 GHz, 5 GHz",,"UART, USB",,3.3 V,,,- 40 C,+ 85 C,802.11ac,,,,,Tray,,,,,
81-CMWC1ZZABR-107,CMWC1ZZABR-107,Murata Electronics,https://ru.mouser.com/datasheet/2/281/Murata_01042021_CMWC1ZZABR_107_A-1949466.pdf,"1,077  In Stock",$20.51,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Murata-Electronics/CMWC1ZZABR-107?qs=81r%2BiQLm7BRbS5TM7hiEuQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CMWC1ZZABR-107&utm_content=Murata-Electronics,,802.11b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 72.2 Mb/s","GPIO, JTAG, UART",,3 V to 3.6 V,"282 mA, 285 mA, 303 mA",83 mA,- 30 C,+ 85 C,WiFi,,,,AWS,Tray,,,,,
634-WFM200SS22XNN3,WFM200SS22XNN3,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wfm200_datasheet-1800105.pdf,260  In Stock,$9.61,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WFM200SS22XNN3?qs=vEM7xhTegWiNkB03Hqcg4w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFM200SS22XNN3&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,15.1 dBm,"1.8 V, 3.3 V",99.4 mA,48.3 mA,- 40 C,+ 105 C,,,,,,Tray,,,,,
239-453-00047C,453-00047C,Laird Connectivity,https://www.lairdconnect.com/node/19974,96  In Stock,$35.81,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00047C?qs=DPoM0jnrROUXMEkIRsBCmw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00047C&utm_content=Laird-Connectivity,Sterling LWB5+,,"2.4 GHz, 5 GHz",,"UART, USB",,3.3 V,,,- 40 C,+ 85 C,802.11ac,,,,,Cut Tape,,,,,
634-WF200D,WF200D,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wf200_datasheet-1633290.pdf,149  In Stock,$5.86,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WF200D?qs=vEM7xhTegWgGp5aozAzYvw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WF200D&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,17 dBm,"1.8 V, 3.3 V",108 mA,47.6 mA,- 40 C,+ 105 C,,,,,,Tray,,,,,
239-453-00048,453-00048,Laird Connectivity,https://www.lairdconnect.com/node/19975,61  In Stock,$33.36,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00048?qs=DPoM0jnrROXDSt9kLRoSFw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00048&utm_content=Laird-Connectivity,Sterling LWB5+,,"2.4 GHz, 5 GHz",,"UART, USB",,3.3 V,,,- 40 C,+ 85 C,802.11ac,,,,,Tray,,,,,
634-WF200SD,WF200SD,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wf200_datasheet-1633290.pdf,260  In Stock,$6.36,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WF200SD?qs=vEM7xhTegWgRA5s9PPW5sw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WF200SD&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,17 dBm,"1.8 V, 3.3 V",108 mA,47.6 mA,- 40 C,+ 105 C,,,,,,Tray,,,,,
634-WFM200SS22XNA3,WFM200SS22XNA3,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wfm200_datasheet-1800105.pdf,216  In Stock,$10.07,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WFM200SS22XNA3?qs=vEM7xhTegWgLLepHuwRpOQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFM200SS22XNA3&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,15.1 dBm,"1.8 V, 3.3 V",99.4 mA,48.3 mA,- 40 C,+ 105 C,,,,,,Tray,,,,,
607-AX201.D2WG,AX201.D2WG,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,979  In Stock,$32.90,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201D2WG?qs=rkhjVJ6/3ELQOcLfiewdWg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.D2WG&utm_content=Intel,Wi-Fi 6 AX201,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX200.NGWG,AX200.NGWG,Intel,https://ru.mouser.com/datasheet/2/612/wi-fi-6-ax200-module-brief-1661660.pdf,712  In Stock,$35.26,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX200NGWG?qs=rkhjVJ6/3EIIuZbLEHlg5w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX200.NGWG&utm_content=Intel,Wi-Fi 6 AX200,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX201.D2WG.L,AX201.D2WG.L,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,991  In Stock,$35.26,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201D2WGL?qs=rkhjVJ6/3ELXD5efPJaICw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.D2WG.L&utm_content=Intel,Wi-Fi 6 AX201,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,LTE,,,,,,,,
607-AX201D2WGW,AX201.D2WG.W,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,993  In Stock,$35.47,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201D2WGW?qs=OlC7AqGiEDlNy6%2BUu8AG6g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.D2WG.W&utm_content=Intel,AX201,802.11 a/x,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX200.D2WG.L,AX200.D2WG.L,Intel,https://ru.mouser.com/datasheet/2/612/wi-fi-6-ax200-module-brief-1661660.pdf,874  In Stock,$37.59,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX200D2WGL?qs=rkhjVJ6/3ELsYfiq%2BD09Uw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX200.D2WG.L&utm_content=Intel,Wi-Fi 6 AX200,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,LTE,,,,,,,,
607-AX201D2WGLW,AX201.D2WG.LW,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,995  In Stock,$38.01,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201D2WGLW?qs=OlC7AqGiEDlaqwKVyFt%2Brg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.D2WG.LW&utm_content=Intel,AX201,802.11 a/x,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX200D2WGLP,AX200.D2WG.LP,Intel,https://ru.mouser.com/datasheet/2/612/wi-fi-6-ax200-module-brief-1661660.pdf,801  In Stock,$40.56,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX200D2WGLP?qs=OlC7AqGiEDkCw4E2BYTSUw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX200.D2WG.LP&utm_content=Intel,AX200,802.11 a/x,"2.4 GHz, 5 GHz",2.4 Gb/s,"PCIe, USB",,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
356-ESPWROOM3200US3,ESP32-WROOM-32U(M113DH3200US3Q0),Espressif Systems,https://ru.mouser.com/datasheet/2/891/esp32_wroom_32d_esp32_wroom_32u_datasheet_en-1365844.pdf,"1,870  In Stock",$6.32,,New Product,https://ru.mouser.com/ProductDetail/Espressif-Systems/ESP32-WROOM-32UM113DH3200US3Q0?qs=wnTfsH77Xs6OUWBau0izbQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ESP32-WROOM-32U(M113DH3200US3Q0)&utm_content=Espressif-Systems,ESP32-WROOM,802.11 b/g/n,2.4 GHz to 2.5 GHz,150 Mb/s,"Ethernet, I2C, I2S, SD, SPI, UART",18.5 dBm,2.7 V to 3.6 V,,,- 40 C,+ 85 C,WiFi,,,,,,,,,,
607-3168.NGWG,3168.NGWG,Intel,https://ru.mouser.com/datasheet/2/612/dual-band-wireless-ac-3168-brief-1661622.pdf,385  In Stock,$11.74,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/3168NGWG?qs=rkhjVJ6/3EImXAKcuHN4Qw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=3168.NGWG&utm_content=Intel,Wireless-AC 3168,802.11 ac,,433 Mb/s,"PCIe, USB",,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX201.D2WG.NV,AX201.D2WG.NV,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,877  In Stock,$18.81,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201D2WGNV?qs=rkhjVJ6/3EJlmuf/mSVeMQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.D2WG.NV&utm_content=Intel,Wi-Fi 6 AX201,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX201.D2WG.LNV,AX201.D2WG.LNV,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,942  In Stock,$21.14,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201D2WGLNV?qs=rkhjVJ6/3ELW6S48LstXFQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.D2WG.LNV&utm_content=Intel,Wi-Fi 6 AX201,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,LTE,,,,,,,,
607-AX200.D2WG.LTNV,AX200.D2WG.LTNV,Intel,https://ru.mouser.com/datasheet/2/612/wi-fi-6-ax200-module-brief-1661660.pdf,788  In Stock,$23.50,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX200D2WGLTNV?qs=rkhjVJ6/3EInEFrP%2BGYtaQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX200.D2WG.LTNV&utm_content=Intel,Wi-Fi 6 AX200,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,LTE,,,,,,,,
607-AX201NGWGNVW,AX201.NGWG.NVW,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,196  In Stock,$23.98,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201NGWGNVW?qs=OlC7AqGiEDleMyzin7oIFA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.NGWG.NVW&utm_content=Intel,AX201,802.11 a/x,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX201D2WGNVW,AX201.D2WG.NVW,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,989  In Stock,$23.98,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201D2WGNVW?qs=OlC7AqGiEDlFxW3belMCXg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.D2WG.NVW&utm_content=Intel,AX201,802.11 a/x,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX200D2WGLNVP,AX200.D2WG.LNVP,Intel,https://ru.mouser.com/datasheet/2/612/wi-fi-6-ax200-module-brief-1661660.pdf,989  In Stock,$25.34,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX200D2WGLNVP?qs=OlC7AqGiEDnUoPXYRq1k1w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX200.D2WG.LNVP&utm_content=Intel,AX200,802.11 a/x,"2.4 GHz, 5 GHz",2.4 Gb/s,"PCIe, USB",,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX200D2WGLTNP,AX200.D2WG.LTNP,Intel,https://ru.mouser.com/datasheet/2/612/wi-fi-6-ax200-module-brief-1661660.pdf,982  In Stock,$25.34,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX200D2WGLTNP?qs=OlC7AqGiEDlOBG8DCONviQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX200.D2WG.LTNP&utm_content=Intel,AX200,802.11 a/x,"2.4 GHz, 5 GHz",2.4 Gb/s,"PCIe, USB",,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX201D2WGLNVW,AX201.D2WG.LNVW,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,994  In Stock,$26.98,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201D2WGLNVW?qs=OlC7AqGiEDnSx1d05wsNrw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.D2WG.LNVW&utm_content=Intel,AX201,802.11 a/x,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-9560.NGWG,9560.NGWG,Intel,https://ru.mouser.com/datasheet/2/612/dual-band-wireless-ac-9560-brief-1661655.pdf,113  In Stock,$28.21,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/9560NGWG?qs=rkhjVJ6/3EK98xxJYRlhSA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=9560.NGWG&utm_content=Intel,Wireless-AC 9560,802.11 ac,"2.4 GHz, 5 GHz",1.73 Gb/s,"PCIe, USB",,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX201.NGWG,AX201.NGWG,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,166  In Stock,$32.90,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201NGWG?qs=rkhjVJ6/3EKbdltUxbSxjA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.NGWG&utm_content=Intel,Wi-Fi 6 AX201,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX201NGWGW,AX201.NGWG.W,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,149  In Stock,$35.47,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201NGWGW?qs=OlC7AqGiEDmnWcRjB8iUvQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.NGWG.W&utm_content=Intel,AX201,802.11 a/x,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
923-WISE-4610-NA,WISE-4610-NA,Advantech,https://ru.mouser.com/datasheet/2/638/WISE_4610_DS_082820_20200828154620-2010484.pdf,12  In Stock,$332.52,,New Product,https://ru.mouser.com/ProductDetail/Advantech/WISE-4610-NA?qs=vHuUswq2%2BszrVUs1P9vjCw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WISE-4610-NA&utm_content=Advantech,,,"863 MHz to 870 MHz, 902 MHz to 928 MHz, 915 MHz to 928 MHz",,USB,18 dBm,10 V to 50 V,,,0 C,+ 60 C,WiFi,,,,,,,,,,
356-ESP32S2WRV3216PH,ESP32-S2-WROVER(M22S2H3216PH3Q0),Espressif Systems,https://ru.mouser.com/datasheet/2/891/esp32_s2_wrover_esp32_s2_wrover_i_datasheet_en-1901864.pdf,"1,066  In Stock",$3.56,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Espressif-Systems/ESP32-S2-WROVERM22S2H3216PH3Q0?qs=vHuUswq2%2BswhBPbltcIS8Q==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ESP32-S2-WROVER(M22S2H3216PH3Q0)&utm_content=Espressif-Systems,ESP32-S2-WROVER,802.11 b/g/n,2.4 GHz,,"ADC, GPIO, I2C, I2S, PWM, SPI, UART",19.5 dBm,3.3 V,,,,,WiFi,,,,,Tray,,,,,
356-ESP32WRVE23264PC,ESP32-WROVER-E(M213EH3264PH3Q0),Espressif Systems,https://ru.mouser.com/datasheet/2/891/esp32_wrover_e_esp32_wrover_ie_datasheet_en-1855913.pdf,932  In Stock,$4.63,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Espressif-Systems/ESP32-WROVER-EM213EH3264PH3Q0?qs=vmHwEFxEFR/0xB4xJaURtQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ESP32-WROVER-E(M213EH3264PH3Q0)&utm_content=Espressif-Systems,ESP32-WROVER,802.11 b/g/n,2.4 GHz to 2.5 GHz,150 Mb/s,"I2C, I2S, SPI, UART",20 dBm,2.3 V to 3.6 V,,,- 40 C,+ 65 C,WiFi,,,,,Tray,,,,,
356-ESP32WRM32UE28UH,ESP32-WROOM-32UE(M113EH2800UH3Q0),Espressif Systems,https://ru.mouser.com/datasheet/2/891/esp32_wroom_32e_esp32_wroom_32ue_datasheet_en-1855879.pdf,492  In Stock,$5.06,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Espressif-Systems/ESP32-WROOM-32UEM113EH2800UH3Q0?qs=vHuUswq2%2BswmjMZOJoYkgw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ESP32-WROOM-32UE(M113EH2800UH3Q0)&utm_content=Espressif-Systems,ESP32-WROOM,802.11 b/g/n,2.4 GHz to 2.5 GHz,150 Mb/s,"I2C, I2S, SPI, UART",20 dBm,3 V to 3.6 V,,,- 40 C,+ 85 C,WiFi,,,,,Tray,,,,,
356-ESP32WRVIE6464UC,ESP32-WROVER-IE(M213EH6464UH3Q0),Espressif Systems,https://ru.mouser.com/datasheet/2/891/esp32_wrover_e_esp32_wrover_ie_datasheet_en-1855913.pdf,483  In Stock,$5.06,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Espressif-Systems/ESP32-WROVER-IEM213EH6464UH3Q0?qs=vmHwEFxEFR8dEk/0jf8bsw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ESP32-WROVER-IE(M213EH6464UH3Q0)&utm_content=Espressif-Systems,ESP32-WROVER,802.11 b/g/n,2.4 GHz to 2.5 GHz,150 Mb/s,"I2C, I2S, SPI, UART",20 dBm,2.3 V to 3.6 V,,,- 40 C,+ 65 C,WiFi,,,,,Tray,,,,,
356-ESPWROOM3200PS3,ESP32-WROOM-32D(M113DH3200PS3Q0),Espressif Systems,https://ru.mouser.com/datasheet/2/891/esp32_wroom_32d_esp32_wroom_32u_datasheet_en-1365844.pdf,"2,075  In Stock",$6.32,,New Product,https://ru.mouser.com/ProductDetail/Espressif-Systems/ESP32-WROOM-32DM113DH3200PS3Q0?qs=wnTfsH77Xs7iNQbBNob0RQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ESP32-WROOM-32D(M113DH3200PS3Q0)&utm_content=Espressif-Systems,ESP32-WROOM,802.11 b/g/n,2.4 GHz to 2.5 GHz,150 Mb/s,"Ethernet, I2C, I2S, SD, SPI, UART",18.5 dBm,2.7 V to 3.6 V,,,- 40 C,+ 105 C,WiFi,,,,,,,,,,
